PSS:EXT:LOC:LOCNM,PSS:EXT:EXTID,BreedingStage,PSS:EXT:LOC:LOCCD,PSS:EXT:EXTNO,T,PSS:EEXT:MAT:MATID,PSS:PLOT:BARCD,PSS:BARCD,PSS:REPNO,PSS:PLTID,PSS:STRNG,PSS:STROW,PSS:MSEQNO,PSS:EEXT:MAT:ABBRC,PSS:EEXT:MAT:HGHNM,PSS:EEXT:MAT:VH:VHNM,PSS:EEXT:MAT:GHTV,PSS:EXT:EXP:EXTID,PSS:DLLFR,PSS:SCLBR,PSS:GRLSR,PSS:SRSTR,PSS:ANLBR,PSS:CRSTR,PSS:HELMR,PSS:LFSPR,PSS:STRIP,PSS:STRSR,PSS:EARTR,PSS:HEL1R,PSS:HEL2R,PSS:HEL3R,PSS:FEARN,PSS:FLISP,PSS:VIRUR,PSS:COSTR,PSS:PRMDN,PSS:PRMDP,PSS:EEXT:MAT:VH:VHNO,PSS:STD_N,PSS:BRRNN,PSS:YGSMN,PSS:YGMRN,PSS:rGWTPN,PSS:TWHMN,PSS:BRRNP,PSS:GWTPN,PSS:GMSTP,PSS:YGHMN,PSS:rGMSTP,PSS:TWSMN,PSS:PLTQR,PSS:tGWTPN,PSS:tGMSTP,PSS:ERHTN,PSS:PLHTN,PSS:SLK5N,PSS:POL5D,PSS:SLK5D,PSS:POL5N,PSS:EXT:LOC:GEODV,PSS:EXT:LOC:LONG,PSS:EXT:LOC:LAT,PSS:EXT:EXP:REMRK
BRTR BL25,22WNBPEYG8Z1BL25,Licenciamento,BL25,8Z1,8,21ALL112XTY_MM,,UR271205322,1,0001,30,1,1,SYA7470ZS.0,SYA7470ZS.0,SYA7470ZS.0,,22WNBPEYG8Z1,3.0000,,,,,,,,,,,,,,,,,,,,SYA7470ZS.0,,,,,,,,,,,,,,,,,,,,,,9,-58.08683000,-12.80349000,
BRTR BL10,22WNBPEYG8Z1BL10,Licenciamento,BL10,8Z1,8,21ALL112XTY_MM,,UR271206026,1,0001,36,88,1,SYA7470ZS.0,SYA7470ZS.0,SYA7470ZS.0,,22WNBPEYG8Z1,,,,,,,,,,,,,,,,,,,,,SYA7470ZS.0,,,,,,,,,,,,,1,,,,,,,,,9,-55.94174000,-12.98987000,
BRTR BL18,22WNBPEYG8Z1BL18,Licenciamento,BL18,8Z1,8,21ALL112XTY_MM,,UR271205784,1,0001,30,1,1,SYA7470ZS.0,SYA7470ZS.0,SYA7470ZS.0,,22WNBPEYG8Z1,3.0000,,,,,,,,,,,,,,,,,,,,SYA7470ZS.0,57,,,,,,,,,,,,,,,,,,,,,9,-58.51884000,-13.59584000,
BRTR BL39,22WNBPEYG8Z1BL39,Licenciamento,BL39,8Z1,8,21ALL112XTY_MM,,UR271206158,1,0001,30,1,1,SYA7470ZS.0,SYA7470ZS.0,SYA7470ZS.0,,22WNBPEYG8Z1,1.0000,,,,,,,,,,,,,,,,,,,,SYA7470ZS.0,50,,,,,,,,,,,,,,,,,,,,,9,-52.17083000,-13.60493000,
BRTR BL20,22WNBPEYG8Z1BL20,Licenciamento,BL20,8Z1,8,21ALL112XTY_MM,,UR271205256,1,0001,30,1,1,SYA7470ZS.0,SYA7470ZS.0,SYA7470ZS.0,,22WNBPEYG8Z1,2.0000,,,,,,,,,,,,,,,,,,,,SYA7470ZS.0,,,,,,,,,,,,,,,,,,,,,,9,-59.27241000,-13.73068000,
BRTR BL40,22WNBPEYG8Z1BL40,Licenciamento,BL40,8Z1,8,21ALL112XTY_MM,,UR271205388,1,0001,30,1,1,SYA7470ZS.0,SYA7470ZS.0,SYA7470ZS.0,,22WNBPEYG8Z1,2.0000,,,,,,,,,,,,,,,,,,,,SYA7470ZS.0,53,,,,,,,,,,,,,,,,,,,,,9,-51.75430000,-12.42000000,
BRTR BL12,22WNBPEYG8Z1BL12,Licenciamento,BL12,8Z1,8,21ALL112XTY_MM,,UR271205806,1,0001,30,1,1,SYA7470ZS.0,SYA7470ZS.0,SYA7470ZS.0,,22WNBPEYG8Z1,,2.0,,,,,,2,,,,,,,,,,,,,SYA7470ZS.0,,,,,,,,,,,,,,,,,,,,,,9,-56.14570000,-13.31910000,
BRTR BL16,22WNBPEYG8Z1BL16,Licenciamento,BL16,8Z1,8,21ALL112XTY_MM,,UR271205212,1,0001,30,1,1,SYA7470ZS.0,SYA7470ZS.0,SYA7470ZS.0,,22WNBPEYG8Z1,2.0000,2.0,,,,,,,,,,,,,,,,,,,SYA7470ZS.0,58,,,,,,,,,,,,,,,,,,,,,9,-55.92769000,-13.23565000,
BRTR BL15,22WNBPEYG8Z1BL15,Licenciamento,BL15,8Z1,8,21ALL112XTY_MM,,UR271205168,1,0001,30,1,1,SYA7470ZS.0,SYA7470ZS.0,SYA7470ZS.0,,22WNBPEYG8Z1,,,,,,,,,,,,,,,,,,,,,SYA7470ZS.0,,,,,,,,,,,,,,,,,,,,,,9,-56.19940000,-12.85330000,
BRTR BL01,22WNBPEYG8Z1BL01,Licenciamento,BL01,8Z1,8,21ALL112XTY_MM,,UR271205850,1,0001,30,33,1,SYA7470ZS.0,SYA7470ZS.0,SYA7470ZS.0,,22WNBPEYG8Z1,,3.0,,,,,,,,,,,,,,,,,,,SYA7470ZS.0,58,,,,,,,,,,,,,,,,,,,,,9,-55.50362000,-11.69889000,
BRTR BL28,22WNBPEYG8Z1BL28,Licenciamento,BL28,8Z1,8,21ALL112XTY_MM,,UR271205564,1,0001,30,33,6,SYA7470ZS.0,SYA7470ZS.0,SYA7470ZS.0,,22WNBPEYG8Z1,,2.0,,,,,,,,,,,,,,,,3.0000,,,SYA7470ZS.0,51,,,,,,,,,,,,1,,,,,,,,,9,-55.17203000,-15.33561000,
BRTR BL06,22WNBPEYG8Z1BL06,Licenciamento,BL06,8Z1,8,21ALL112XTY_MM,,UR271205674,1,0001,30,1,1,SYA7470ZS.0,SYA7470ZS.0,SYA7470ZS.0,,22WNBPEYG8Z1,,2.0,,,,,,,,,,,,,,,,,,,SYA7470ZS.0,,,,,,,,,,,,,,,,,,,,,,9,-55.84350000,-12.81547000,
BRTR BL32,22WNBPEYG8Z1BL32,Licenciamento,BL32,8Z1,8,21ALL112XTY_MM,,UR271205476,1,0001,30,1,1,SYA7470ZS.0,SYA7470ZS.0,SYA7470ZS.0,,22WNBPEYG8Z1,1.0000,2.0,,,,,2,,,,,,,,,,,,,,SYA7470ZS.0,53,,,,,,,,,,,,,,,,,,,,,9,-55.40972000,-15.87111000,
BRTR BL21,22WNBPEYG8Z1BL21,Licenciamento,BL21,8Z1,8,21ALL112XTY_MM,,UR271205938,1,0001,30,1,1,SYA7470ZS.0,SYA7470ZS.0,SYA7470ZS.0,,22WNBPEYG8Z1,2.0000,1.0,,,,,,,,,,,,,,,,1.0000,,,SYA7470ZS.0,,,,,,,,,,,,,,,,,,,,,,9,-57.99279000,-13.17798000,
BRTR BL20,22WNBPEYG8Z1BL20,Licenciamento,BL20,8Z1,8,21ALL112XTZ_MM,,UR271205255,1,0002,30,9,2,SYC7209ZS.0,SYC7209ZS.0,SYC7209ZS.0,,22WNBPEYG8Z1,2.0000,,,,,,,,,,,,,,,,,,,,SYC7209ZS.0,,,,,,,,,,,,,,,,,,,,,,9,-59.27241000,-13.73068000,
BRTR BL25,22WNBPEYG8Z1BL25,Licenciamento,BL25,8Z1,8,21ALL112XTZ_MM,,UR271205321,1,0002,30,9,2,SYC7209ZS.0,SYC7209ZS.0,SYC7209ZS.0,,22WNBPEYG8Z1,2.0000,,,,,,,,,,,,,,,,,,,,SYC7209ZS.0,,,,,,,,,,,,,,,,,,,,,,9,-58.08683000,-12.80349000,
BRTR BL39,22WNBPEYG8Z1BL39,Licenciamento,BL39,8Z1,8,21ALL112XTZ_MM,,UR271206157,1,0002,30,9,2,SYC7209ZS.0,SYC7209ZS.0,SYC7209ZS.0,,22WNBPEYG8Z1,1.0000,,,,,,,,,,,,,,,,,,,,SYC7209ZS.0,55,,,,,,,,,,,,,,,,,,,,,9,-52.17083000,-13.60493000,
BRTR BL18,22WNBPEYG8Z1BL18,Licenciamento,BL18,8Z1,8,21ALL112XTZ_MM,,UR271205783,1,0002,30,9,2,SYC7209ZS.0,SYC7209ZS.0,SYC7209ZS.0,,22WNBPEYG8Z1,2.0000,,,,,,,,,,,,,,,,,,,,SYC7209ZS.0,53,,,,,,,,,,,,,,,,,,,,,9,-58.51884000,-13.59584000,
BRTR BL12,22WNBPEYG8Z1BL12,Licenciamento,BL12,8Z1,8,21ALL112XTZ_MM,,UR271205805,1,0002,30,9,2,SYC7209ZS.0,SYC7209ZS.0,SYC7209ZS.0,,22WNBPEYG8Z1,,2.0,,,,,,,,,,,,,,,,,,,SYC7209ZS.0,,,,,,,,,,,,,,,,,,,,,,9,-56.14570000,-13.31910000,
BRTR BL40,22WNBPEYG8Z1BL40,Licenciamento,BL40,8Z1,8,21ALL112XTZ_MM,,UR271205387,1,0002,30,9,2,SYC7209ZS.0,SYC7209ZS.0,SYC7209ZS.0,,22WNBPEYG8Z1,2.0000,,,,,,,,,,,,,,,,,,,,SYC7209ZS.0,61,,,,,,,,,,,,,,,,,,,,,9,-51.75430000,-12.42000000,
BRTR BL10,22WNBPEYG8Z1BL10,Licenciamento,BL10,8Z1,8,21ALL112XTZ_MM,,UR271206025,1,0002,36,80,2,SYC7209ZS.0,SYC7209ZS.0,SYC7209ZS.0,,22WNBPEYG8Z1,,,,,,,,,,,,,,,,,,,,,SYC7209ZS.0,,,,,,,,,,,,,1,,,,,,,,,9,-55.94174000,-12.98987000,
BRTR BL16,22WNBPEYG8Z1BL16,Licenciamento,BL16,8Z1,8,21ALL112XTZ_MM,,UR271205211,1,0002,30,9,2,SYC7209ZS.0,SYC7209ZS.0,SYC7209ZS.0,,22WNBPEYG8Z1,1.0000,2.0,,,,,,,,,,,,,,,,,,,SYC7209ZS.0,55,,,,,,,,,,,,,,,,,,,,,9,-55.92769000,-13.23565000,
BRTR BL28,22WNBPEYG8Z1BL28,Licenciamento,BL28,8Z1,8,21ALL112XTZ_MM,,UR271205563,1,0002,30,41,7,SYC7209ZS.0,SYC7209ZS.0,SYC7209ZS.0,,22WNBPEYG8Z1,,2.0,,,,,,2,,,,,,,,,,2.0000,,,SYC7209ZS.0,56,,,,,,,,,,,,1,,,,,,,,,9,-55.17203000,-15.33561000,
BRTR BL01,22WNBPEYG8Z1BL01,Licenciamento,BL01,8Z1,8,21ALL112XTZ_MM,,UR271205849,1,0002,30,41,2,SYC7209ZS.0,SYC7209ZS.0,SYC7209ZS.0,,22WNBPEYG8Z1,,4.0,,,,,,,,,,,,,,,,,,,SYC7209ZS.0,56,,,,,,,,,,,,,,,,,,,,,9,-55.50362000,-11.69889000,
BRTR BL06,22WNBPEYG8Z1BL06,Licenciamento,BL06,8Z1,8,21ALL112XTZ_MM,,UR271205673,1,0002,30,9,2,SYC7209ZS.0,SYC7209ZS.0,SYC7209ZS.0,,22WNBPEYG8Z1,,2.0,,,,,,,,,,,,,,,,,,,SYC7209ZS.0,,,,,,,,,,,,,,,,,,,,,,9,-55.84350000,-12.81547000,
BRTR BL15,22WNBPEYG8Z1BL15,Licenciamento,BL15,8Z1,8,21ALL112XTZ_MM,,UR271205167,1,0002,30,9,2,SYC7209ZS.0,SYC7209ZS.0,SYC7209ZS.0,,22WNBPEYG8Z1,,,,,,,,,,,,,,,,,,,,,SYC7209ZS.0,,,,,,,,,,,,,,,,,,,,,,9,-56.19940000,-12.85330000,
BRTR BL32,22WNBPEYG8Z1BL32,Licenciamento,BL32,8Z1,8,21ALL112XTZ_MM,,UR271205475,1,0002,30,9,2,SYC7209ZS.0,SYC7209ZS.0,SYC7209ZS.0,,22WNBPEYG8Z1,1.0000,1.0,,,,,1,,,,,,,,,,,,,,SYC7209ZS.0,56,,,,,,,,,,,,,,,,,,,,,9,-55.40972000,-15.87111000,
BRTR BL21,22WNBPEYG8Z1BL21,Licenciamento,BL21,8Z1,8,21ALL112XTZ_MM,,UR271205937,1,0002,30,9,2,SYC7209ZS.0,SYC7209ZS.0,SYC7209ZS.0,,22WNBPEYG8Z1,2.0000,1.0,,,,,,,,,,,,,,,,1.0000,,,SYC7209ZS.0,,,,,,,,,,,,,,,,,,,,,,9,-57.99279000,-13.17798000,
BRTR BL12,22WNBPEYG8Z1BL12,Licenciamento,BL12,8Z1,8,21ALL112XU1_MM,,UR271205804,1,0003,30,17,3,SYA7560ZS.0,SYA7560ZS.0,SYA7560ZS.0,,22WNBPEYG8Z1,,2.0,,,,,,,,,,,,,,,,,,,SYA7560ZS.0,,,,,,,,,,,,,,,,,,,,,,9,-56.14570000,-13.31910000,
BRTR BL40,22WNBPEYG8Z1BL40,Licenciamento,BL40,8Z1,8,21ALL112XU1_MM,,UR271205386,1,0003,30,17,3,SYA7560ZS.0,SYA7560ZS.0,SYA7560ZS.0,,22WNBPEYG8Z1,2.0000,,,,,,,,,,,,,,,,,,,,SYA7560ZS.0,53,,,,,,,,,,,,,,,,,,,,,9,-51.75430000,-12.42000000,
BRTR BL18,22WNBPEYG8Z1BL18,Licenciamento,BL18,8Z1,8,21ALL112XU1_MM,,UR271205782,1,0003,30,17,3,SYA7560ZS.0,SYA7560ZS.0,SYA7560ZS.0,,22WNBPEYG8Z1,2.0000,,,,,,,,,,,,,,,,,,,,SYA7560ZS.0,58,,,,,,,,,,,,,,,,,,,,,9,-58.51884000,-13.59584000,
BRTR BL20,22WNBPEYG8Z1BL20,Licenciamento,BL20,8Z1,8,21ALL112XU1_MM,,UR271205254,1,0003,30,17,3,SYA7560ZS.0,SYA7560ZS.0,SYA7560ZS.0,,22WNBPEYG8Z1,1.0000,,,,,,,,,,,,,,,,,,,,SYA7560ZS.0,,,,,,,,,,,,,,,,,,,,,,9,-59.27241000,-13.73068000,
BRTR BL10,22WNBPEYG8Z1BL10,Licenciamento,BL10,8Z1,8,21ALL112XU1_MM,,UR271206024,1,0003,36,72,3,SYA7560ZS.0,SYA7560ZS.0,SYA7560ZS.0,,22WNBPEYG8Z1,,,,,,,,,,,,,,,,,,,,,SYA7560ZS.0,,,,,,,,,,,,,1,,,,,,,,,9,-55.94174000,-12.98987000,
BRTR BL25,22WNBPEYG8Z1BL25,Licenciamento,BL25,8Z1,8,21ALL112XU1_MM,,UR271205320,1,0003,30,17,3,SYA7560ZS.0,SYA7560ZS.0,SYA7560ZS.0,,22WNBPEYG8Z1,4.0000,,,,,,,,,,,,,,,,,,,,SYA7560ZS.0,,,,,,,,,,,,,,,,,,,,,,9,-58.08683000,-12.80349000,
BRTR BL39,22WNBPEYG8Z1BL39,Licenciamento,BL39,8Z1,8,21ALL112XU1_MM,,UR271206156,1,0003,30,17,3,SYA7560ZS.0,SYA7560ZS.0,SYA7560ZS.0,,22WNBPEYG8Z1,1.0000,,,,,,,,,,,,,,,,,,,,SYA7560ZS.0,57,,,,,,,,,,,,,,,,,,,,,9,-52.17083000,-13.60493000,
BRTR BL16,22WNBPEYG8Z1BL16,Licenciamento,BL16,8Z1,8,21ALL112XU1_MM,,UR271205210,1,0003,30,17,3,SYA7560ZS.0,SYA7560ZS.0,SYA7560ZS.0,,22WNBPEYG8Z1,3.0000,2.0,,,,,,,,,,,,,,,,,,,SYA7560ZS.0,55,,,,,,,,,,,,,,,,,,,,,9,-55.92769000,-13.23565000,
BRTR BL01,22WNBPEYG8Z1BL01,Licenciamento,BL01,8Z1,8,21ALL112XU1_MM,,UR271205848,1,0003,30,49,3,SYA7560ZS.0,SYA7560ZS.0,SYA7560ZS.0,,22WNBPEYG8Z1,,3.0,,,,,,,,,,,,,,,,,,,SYA7560ZS.0,53,,,,,,,,,,,,,,,,,,,,,9,-55.50362000,-11.69889000,
BRTR BL15,22WNBPEYG8Z1BL15,Licenciamento,BL15,8Z1,8,21ALL112XU1_MM,,UR271205166,1,0003,30,17,3,SYA7560ZS.0,SYA7560ZS.0,SYA7560ZS.0,,22WNBPEYG8Z1,,,,,,,,,,,,,,,,,,,,,SYA7560ZS.0,,,,,,,,,,,,,,,,,,,,,,9,-56.19940000,-12.85330000,
BRTR BL28,22WNBPEYG8Z1BL28,Licenciamento,BL28,8Z1,8,21ALL112XU1_MM,,UR271205562,1,0003,30,49,8,SYA7560ZS.0,SYA7560ZS.0,SYA7560ZS.0,,22WNBPEYG8Z1,,2.0,,,,,2,,,,,,,,,,,3.0000,,,SYA7560ZS.0,52,,,,,,,,,,,,1,,,,,,,,,9,-55.17203000,-15.33561000,
BRTR BL06,22WNBPEYG8Z1BL06,Licenciamento,BL06,8Z1,8,21ALL112XU1_MM,,UR271205672,1,0003,30,17,3,SYA7560ZS.0,SYA7560ZS.0,SYA7560ZS.0,,22WNBPEYG8Z1,,3.0,,,,,,,,,,,,,,,,,,,SYA7560ZS.0,,,,,,,,,,,,,,,,,,,,,,9,-55.84350000,-12.81547000,
BRTR BL32,22WNBPEYG8Z1BL32,Licenciamento,BL32,8Z1,8,21ALL112XU1_MM,,UR271205474,1,0003,30,17,3,SYA7560ZS.0,SYA7560ZS.0,SYA7560ZS.0,,22WNBPEYG8Z1,1.0000,2.0,,,,,3,,,,,,,,,,,,,,SYA7560ZS.0,57,,,,,,,,,,,,,,,,,,,,,9,-55.40972000,-15.87111000,
BRTR BL21,22WNBPEYG8Z1BL21,Licenciamento,BL21,8Z1,8,21ALL112XU1_MM,,UR271205936,1,0003,30,17,3,SYA7560ZS.0,SYA7560ZS.0,SYA7560ZS.0,,22WNBPEYG8Z1,2.0000,1.0,,,,,,,,,,,,,,,,1.0000,,,SYA7560ZS.0,,,,,,,,,,,,,,,,,,,,,,9,-57.99279000,-13.17798000,
BRTR BL18,22WNBPEYG8Z1BL18,Licenciamento,BL18,8Z1,8,21ALL112XU2_MM,,UR271205781,1,0004,30,25,4,SXE3279ZL.0,SXE3279ZL.0,SXE3279ZL.0,,22WNBPEYG8Z1,1.0000,,,,,,,,,,,,,,,,,,,,SXE3279ZL.0,55,,,,,,,,,,,,,,,,,,,,,9,-58.51884000,-13.59584000,
BRTR BL40,22WNBPEYG8Z1BL40,Licenciamento,BL40,8Z1,8,21ALL112XU2_MM,,UR271205385,1,0004,30,25,4,SXE3279ZL.0,SXE3279ZL.0,SXE3279ZL.0,,22WNBPEYG8Z1,2.0000,,,,,,,,,,,,,,,,,2.0000,,,SXE3279ZL.0,58,,,,,,,,,,,,,,,,,,,,,9,-51.75430000,-12.42000000,
BRTR BL10,22WNBPEYG8Z1BL10,Licenciamento,BL10,8Z1,8,21ALL112XU2_MM,,UR271206023,1,0004,36,64,4,SXE3279ZL.0,SXE3279ZL.0,SXE3279ZL.0,,22WNBPEYG8Z1,,,,,,,,,,,,,,,,,,,,,SXE3279ZL.0,,,,,,,,,,,,,1,,,,,,,,,9,-55.94174000,-12.98987000,
BRTR BL25,22WNBPEYG8Z1BL25,Licenciamento,BL25,8Z1,8,21ALL112XU2_MM,,UR271205319,1,0004,30,25,4,SXE3279ZL.0,SXE3279ZL.0,SXE3279ZL.0,,22WNBPEYG8Z1,2.0000,,,,,,,,,,,,,,,,,,,,SXE3279ZL.0,,,,,,,,,,,,,,,,,,,,,,9,-58.08683000,-12.80349000,
BRTR BL12,22WNBPEYG8Z1BL12,Licenciamento,BL12,8Z1,8,21ALL112XU2_MM,,UR271205803,1,0004,30,25,4,SXE3279ZL.0,SXE3279ZL.0,SXE3279ZL.0,,22WNBPEYG8Z1,,,,,,,,,,,,,,,,,,,,,SXE3279ZL.0,,,,,,,,,,,,,,,,,,,,,,9,-56.14570000,-13.31910000,
BRTR BL20,22WNBPEYG8Z1BL20,Licenciamento,BL20,8Z1,8,21ALL112XU2_MM,,UR271205253,1,0004,30,25,4,SXE3279ZL.0,SXE3279ZL.0,SXE3279ZL.0,,22WNBPEYG8Z1,1.0000,,,,,,,,,,,,,,,,,,,,SXE3279ZL.0,,,,,,,,,,,,,,,,,,,,,,9,-59.27241000,-13.73068000,
BRTR BL39,22WNBPEYG8Z1BL39,Licenciamento,BL39,8Z1,8,21ALL112XU2_MM,,UR271206155,1,0004,30,25,4,SXE3279ZL.0,SXE3279ZL.0,SXE3279ZL.0,,22WNBPEYG8Z1,1.0000,,,,,,,,,,,,,,,,,,,,SXE3279ZL.0,56,,,,,,,,,,,,,,,,,,,,,9,-52.17083000,-13.60493000,
BRTR BL16,22WNBPEYG8Z1BL16,Licenciamento,BL16,8Z1,8,21ALL112XU2_MM,,UR271205209,1,0004,30,25,4,SXE3279ZL.0,SXE3279ZL.0,SXE3279ZL.0,,22WNBPEYG8Z1,2.0000,2.0,,,,,,,,,,,,,,,,,,,SXE3279ZL.0,58,,,,,,,,,,,,,,,,,,,,,9,-55.92769000,-13.23565000,
BRTR BL15,22WNBPEYG8Z1BL15,Licenciamento,BL15,8Z1,8,21ALL112XU2_MM,,UR271205165,1,0004,30,25,4,SXE3279ZL.0,SXE3279ZL.0,SXE3279ZL.0,,22WNBPEYG8Z1,,,,,,,,,,,,,,,,,,,,,SXE3279ZL.0,,,,,,,,,,,,,,,,,,,,,,9,-56.19940000,-12.85330000,
BRTR BL01,22WNBPEYG8Z1BL01,Licenciamento,BL01,8Z1,8,21ALL112XU2_MM,,UR271205847,1,0004,30,57,4,SXE3279ZL.0,SXE3279ZL.0,SXE3279ZL.0,,22WNBPEYG8Z1,,2.0,,,,,,,,,,,,,,,,,,,SXE3279ZL.0,57,,,,,,,,,,,,,,,,,,,,,9,-55.50362000,-11.69889000,
BRTR BL06,22WNBPEYG8Z1BL06,Licenciamento,BL06,8Z1,8,21ALL112XU2_MM,,UR271205671,1,0004,30,25,4,SXE3279ZL.0,SXE3279ZL.0,SXE3279ZL.0,,22WNBPEYG8Z1,,2.0,,,,,,,,,,,,,,,,,,,SXE3279ZL.0,,,,,,,,,,,,,,,,,,,,,,9,-55.84350000,-12.81547000,
BRTR BL28,22WNBPEYG8Z1BL28,Licenciamento,BL28,8Z1,8,21ALL112XU2_MM,,UR271205561,1,0004,30,57,9,SXE3279ZL.0,SXE3279ZL.0,SXE3279ZL.0,,22WNBPEYG8Z1,,2.0,,,,,,3,,,,,,,,,,5.0000,,,SXE3279ZL.0,51,,,,,,,,,,,,1,,,,,,,,,9,-55.17203000,-15.33561000,
BRTR BL32,22WNBPEYG8Z1BL32,Licenciamento,BL32,8Z1,8,21ALL112XU2_MM,,UR271205473,1,0004,30,25,4,SXE3279ZL.0,SXE3279ZL.0,SXE3279ZL.0,,22WNBPEYG8Z1,1.0000,1.0,,,,,2,,,,,,,,,,,,,,SXE3279ZL.0,56,,,,,,,,,,,,,,,,,,,,,9,-55.40972000,-15.87111000,
BRTR BL21,22WNBPEYG8Z1BL21,Licenciamento,BL21,8Z1,8,21ALL112XU2_MM,,UR271205935,1,0004,30,25,4,SXE3279ZL.0,SXE3279ZL.0,SXE3279ZL.0,,22WNBPEYG8Z1,2.0000,2.0,,,,,,,,,,,,,,,,1.0000,,,SXE3279ZL.0,,,,,,,,,,,,,,,,,,,,,,9,-57.99279000,-13.17798000,
BRTR BL20,22WNBPEYG8Z1BL20,Licenciamento,BL20,8Z1,8,21ALL112XU3_MM,,UR271205252,1,0005,30,33,5,SXC1510ZS.0,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,,22WNBPEYG8Z1,2.0000,,,,,,,,,,,,,,,,,,,,SXC1510ZS.0,,,,,,,,,,,,,,,,,,,,,,9,-59.27241000,-13.73068000,
BRTR BL12,22WNBPEYG8Z1BL12,Licenciamento,BL12,8Z1,8,21ALL112XU3_MM,,UR271205802,1,0005,30,33,5,SXC1510ZS.0,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,,22WNBPEYG8Z1,,2.0,,,,,,,,,,,,,,,,,,,SXC1510ZS.0,,,,,,,,,,,,,,,,,,,,,,9,-56.14570000,-13.31910000,
BRTR BL39,22WNBPEYG8Z1BL39,Licenciamento,BL39,8Z1,8,21ALL112XU3_MM,,UR271206154,1,0005,30,33,5,SXC1510ZS.0,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,,22WNBPEYG8Z1,1.0000,,,,,,,,,,,,,,,,,,,,SXC1510ZS.0,60,,,,,,,,,,,,,,,,,,,,,9,-52.17083000,-13.60493000,
BRTR BL25,22WNBPEYG8Z1BL25,Licenciamento,BL25,8Z1,8,21ALL112XU3_MM,,UR271205318,1,0005,30,33,5,SXC1510ZS.0,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,,22WNBPEYG8Z1,2.0000,,,,,,,,,,,,,,,,,,,,SXC1510ZS.0,,,,,,,,,,,,,,,,,,,,,,9,-58.08683000,-12.80349000,
BRTR BL18,22WNBPEYG8Z1BL18,Licenciamento,BL18,8Z1,8,21ALL112XU3_MM,,UR271205780,1,0005,30,33,5,SXC1510ZS.0,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,,22WNBPEYG8Z1,1.0000,,,,,,,,,,,,,,,,,,,,SXC1510ZS.0,56,,,,,,,,,,,,,,,,,,,,,9,-58.51884000,-13.59584000,
BRTR BL40,22WNBPEYG8Z1BL40,Licenciamento,BL40,8Z1,8,21ALL112XU3_MM,,UR271205384,1,0005,30,33,5,SXC1510ZS.0,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,,22WNBPEYG8Z1,2.0000,,,,,,,,,,,,,,,,,,,,SXC1510ZS.0,55,,,,,,,,,,,,,,,,,,,,,9,-51.75430000,-12.42000000,
BRTR BL10,22WNBPEYG8Z1BL10,Licenciamento,BL10,8Z1,8,21ALL112XU3_MM,,UR271206022,1,0005,36,56,5,SXC1510ZS.0,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,,22WNBPEYG8Z1,,,,,,,,,,,,,,,,,,,,,SXC1510ZS.0,,,,,,,,,,,,,1,,,,,,,,,9,-55.94174000,-12.98987000,
BRTR BL16,22WNBPEYG8Z1BL16,Licenciamento,BL16,8Z1,8,21ALL112XU3_MM,,UR271205208,1,0005,30,33,5,SXC1510ZS.0,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,,22WNBPEYG8Z1,2.0000,1.0,,,,,,,,,,,,,,,,,,,SXC1510ZS.0,56,,,,,,,,,,,,,,,,,,,,,9,-55.92769000,-13.23565000,
BRTR BL01,22WNBPEYG8Z1BL01,Licenciamento,BL01,8Z1,8,21ALL112XU3_MM,,UR271205846,1,0005,30,65,5,SXC1510ZS.0,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,,22WNBPEYG8Z1,,3.0,,,,,,,,,,,,,,,,,,,SXC1510ZS.0,56,,,,,,,,,,,,,,,,,,,,,9,-55.50362000,-11.69889000,
BRTR BL15,22WNBPEYG8Z1BL15,Licenciamento,BL15,8Z1,8,21ALL112XU3_MM,,UR271205164,1,0005,30,33,5,SXC1510ZS.0,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,,22WNBPEYG8Z1,,,,,,,,,,,,,,,,,,,,,SXC1510ZS.0,,,,,,,,,,,,,,,,,,,,,,9,-56.19940000,-12.85330000,
