"nota","genotipo"
4,"(B6Y6Y890/WOY6300)@@72@B-B-/UBTUE177ZL.2"
7,"(B6Y6Y890/WOY6300)@@72@B-B-/WTP6741ZL.2"
3,"(B6Y6Y890/WOY6300)@@72@B-B-/ZTU7026ZL.2"
3,"(B6Y6Y890/ZYF6430)@1014@@/1ZRB84ZS.0"
4,"(B6Y6Y890/ZYF6430)@1014@@/B7T7T812ZS.4"
4,"(B6Y6Y890/ZYF6430)@1014@@/WTP6741ZL.2"
3,"(B6Y6Y890/ZYF6430)@1339@@/1ZRB84ZS.0"
4,"(B6Y6Y890/ZYF6430)@1339@@/WTP6741ZL.2"
2,"(B6Y6Y890/ZYF6430)@1339@@B-B-/B7T7T812ZS.4"
4,"(B6Y6Y890/ZYF6430)@1524@@/1ZRB84ZS.0"
4,"(B6Y6Y890/ZYF6430)@1524@@/WTP6741ZL.2"
4,"(B6Y6Y890/ZYF6430)@1524@@B-B-/PETTF126ZL.2"
3,"(B7Y7Y227/FX7051//WYF6191)@@54@B-B-/UBTUE177ZL.2"
5,"(B7Y7Y227/FX7051//WYF6191)@@54@B-B-/WTP6741ZL.2"
3,"(B7Y7Y227/FX7051//WYF6191)@@54@B-B-/ZTU7026ZL.2"
2.5,"(SUT6057_BGM_F1)B-102-50-/UBYFE489"
3.5,"(T8Y8Y939*_BGM)12>B:4<B:18<B>B>B>B-440-B-/ZTU7013"
3,"(UBFXC676/WYF6191)@@4@1-/UBTUE177ZL.2"
2,"(UBFXC676/WYF6191)@@4@1-/WTP6741ZL.2"
3,"(UBFXC676/WYF6191)@@4@B-/B6T7T943ZS.2"
2,"(UBYXD516/ZYF6430)@@50@/1ZRB84ZS.0"
2,"(UBYXD516/ZYF6430)@@50@/PETTF126ZL.2"
5,"(UBYXD516/ZYF6430)@@50@/WTP6741ZL.2"
2,"(UBYXD516/ZYF6430)@@60@B-1-B-/B7T7T812ZS.4"
2,"(UBYXD516/ZYF6430)@@60@B-1-B-/UBTUE177ZL.2"
2,"(UBYXD516/ZYF6430)@@60@B-1-B-/WTP6741ZL.2"
2,"(UBYXD516/ZYF6430)@@60@B-1-B-/ZTU7026ZL.2"
3,"(UBYXD666/B6Y1F944)@@335@B-1-/UBTUE177ZL.2"
4,"(UBYXD666/B6Y1F944)@@335@B-1-/WTP6741ZL.2"
2,"(UBYXD666/B6Y1F944)@@335@B-1-B-/ZTU7026ZL.2"
3,"(UBYXD666/B6Y1F944)@@82@B-B-B-/B7T7T812ZS.4"
5,"(UBYXD666/B6Y1F944)@@82@B-B-B-/UBTUE177ZL.2"
3,"(UBYXD666/B6Y1F944)@@82@B-B-B-/WTP6741ZL.2"
2,"(WTT7920/ZTU7013*)B>@1471@@/2SHB03"
4,"(WTT7920/ZTU7013*)B>@1471@@/B7Y6Y842ZL.1"
2,"(WTT7920/ZTU7013*)B>@1471@@B-1-B-/WYF6091"
3,"(WTT7920/ZTU7013*)B>@1645@@/2SHB03"
4,"(WTT7920/ZTU7013*)B>@1645@@/B7Y6Y842ZL.1"
3,"(WTT7920/ZTU7013*)B>@1645@@/WYF6091"
2,"(WXK7280/B6Y1F974*)B>@@17@1-/PETTF126ZL.2"
2,"(WXK7280/B6Y1F974*)B>@@17@1-/UBTUE177ZL.2"
3,"(WXK7280/B6Y1F974*)B>@@17@1-/WTP6741ZL.2"
3,"(WXK7280/B6Y1F974*)B>@@55@B-1-B-/UBTUE177ZL.2"
4,"(WXK7280/B6Y1F974*)B>@@55@B-1-B-/ZTU7026ZL.2"
6,"(ZFY5079/WOY6300)@@48@1-/UBTUE177ZL.2"
2,"(ZFY5079/WOY6300)@@48@1-/ZTU7026ZL.2"
2,"(ZTTG375/B7T7T812ZS.4)@@18@/1EEB17"
2,"(ZTTG375/B7T7T812ZS.4)@@18@/2SHB03"
2,"(ZTTG375/B7T7T812ZS.4)@@18@/WYY8370"
2,"(ZTU7162/B7T7T812//ZTU7009)@@48@/2SHB03"
3,"(ZTU7162/B7T7T812//ZTU7009)@@48@/4DEB01"
3,"(ZTU7162/B7T7T812//ZTU7009)@@48@/B7Y6Y842ZL.1"
6,"(ZTU7162/B7T7T812//ZTU7009)@@48@/PEFXD266"
6,"(ZTU7162/B7T7T812//ZTU7009)@@48@/UBTTD400"
5,"(ZTU7162/B7T7T812//ZTU7009)@@48@/UBTUD529"
5,"(ZTU7162/B7T7T812//ZTU7009)@@48@/ZTU7013"
2,"(ZTUE245/ZTU7013ZL)@@15@/2SHB03"
2,"(ZTUE245/ZTU7013ZL)@@15@/B7Y6Y842ZL.1"
3,"(ZTUE245/ZTU7013ZL)@@15@/WYF6091"
2,"(ZTX7020/ZTI4071)@@560@/1EEB17"
3,"(ZTX7020/ZTI4071)@@560@/2SHB03"
3,"(ZTX7020/ZTI4071)@@560@/PEFXD266"
2,"(ZTX7020/ZTTG355)@@102@/1EEB17"
3,"(ZTX7020/ZTTG355)@@102@/2SHB03"
2,"(ZTX7020/ZTTG355)@@102@/PEFXD266"
2,"(ZTX7020/ZTTG355)@@78@/2SHB03"
2,"(ZTX7020/ZTTG355)@@78@/WYY8370"
5,"(ZYF6430/B7Y7X626)@@10@/UBTTG228ZL.0"
6,"(ZYF6430/B7Y7X626)@@10@/UBTUE177ZL.2"
6,"(ZYF6430/B7Y7X626)@@10@/WTP6741ZL.2"
5,"(ZYFG365/ZYF6430)@250@@B-1-1-B-/UBTUE177ZL.2"
5,"(ZYFG365/ZYF6430)@250@@B-1-1-B-/WTP6741ZL.2"
4,"(ZYFG365/ZYF6430)@250@@B-1-1-B-/ZTU7026ZL.2"
8,"(ZYFG365/ZYF6430)@7@@B-/UBTUE177ZL.2"
7,"(ZYFG365/ZYF6430)@7@@B-/WTP6741ZL.2"
6,"(ZYFG365/ZYF6430)@7@@B-/ZTU7026ZL.2"
3,"(ZYXD295/WOY6300)@@281@B-2-B-/UBTUE177ZL.2"
3,"(ZYXD295/WOY6300)@@70@B-B-/UBTUE177ZL.2"
2,"(ZYXD295/WOY6300)@@70@B-B-/WTP6741ZL.2"
2,"(ZYXD295/WOY6300)@@70@B-B-/ZTU7026ZL.2"
5,"(ZYXD295/WOY6300)@@87@1-B-/UBTUE177ZL.2"
2,"(ZYXD295/WOY6300)@@87@1-B-/ZTU7026ZL.2"
4,"(ZYXD295/ZFY5079)@@89@B-/UBTUE177ZL.2"
3,"(ZYXD295/ZFY5079)@@89@B-/WTP6741ZL.2"
3,"(ZYXD295/ZFY5079)@@89@B-/ZTU7026ZL.2"
3,"(ZYY6439/B6Y1F944)@@16@1-/UBTUE177ZL.2"
3,"(ZYY6439/B6Y1F944)@@16@1-/WTP6741ZL.2"
2,"(ZYY6439/B6Y1F944)@@16@1-1-B-/ZTU7026ZL.2"
4,"(ZYY6439/WYF6191)@1881@@1-2-/UBTUE177ZL.2"
5,"(ZYY6439/WYF6191)@1881@@1-2-/WTP6741ZL.2"
6,"(ZYY6439/WYF6191)@806@@B-1-/UBTUE177ZL.2"
2,"(ZYY6439/WYF6191)@806@@B-1-/WTP6741ZL.2"
2,"(ZYY6439/WYF6191)@806@@B-B-B-/B6T7T943ZS.2"
2,"(ZYY6439/WYF6191)@943@@/1ZRB84ZS.0"
3,"(ZYY6439/WYF6191)@943@@/WTP6741ZL.2"
3,"(ZYY6439/WYF6191)@943@@1-B-/B6T7T943ZS.2"
